sample_id,phenotype,age,gene_001,gene_002,gene_003,gene_004,gene_005,gene_006,gene_007,gene_008,gene_009,gene_010,gene_011,gene_012,gene_013,gene_014,gene_015,gene_016,gene_017,gene_018,gene_019,gene_020,gene_021,gene_022,gene_023,gene_024
sample_001,2.3618798759,73.0878843629,0.5945289450,0.5872870292,-0.0899725453,-0.7463429551,0.9305500438,0.6498298082,0.4448115372,1.3582436017,-1.4493285343,-0.6327515090,-0.9219956258,-0.2213520100,-0.0492864045,-0.1985755701,1.9734343310,-0.3864561478,0.1048871313,-0.2123156400,-0.4942857248,0.2938934553,-0.1334002324,-0.7766643146,0.4875299289,-0.8740327933
sample_002,0.7327491740,63.1630513052,0.6127805748,0.9706461856,0.2063377193,0.4064252639,2.1362486948,1.2637332608,0.7593680890,-2.0039220963,-0.9216312768,-0.6148784275,-1.0626031902,-0.3261258299,-0.5635048219,-0.5024149124,-1.4479971859,-0.2910520293,-0.1917152697,1.0760506148,1.1120063930,0.9450994308,1.2691967533,-0.1938415226,0.8833156206,-0.0449913092
sample_003,4.3830456630,57.5554154372,1.5327806386,0.5032549277,0.7564448055,0.7380550017,1.0099027238,0.5558014166,0.3465938849,0.6121861742,0.2629351364,1.4684339974,-0.0954939146,0.6086074883,-0.2062079161,1.9529764802,-0.0338479965,-0.2298429401,-0.5998608150,-0.7820535710,0.0088991508,0.0089899691,-2.3465644287,-0.8352510035,-1.4385241706,-0.7737462314
sample_004,1.5355887863,50.5826076801,0.4845872234,-0.6350084915,-1.6306078121,-0.6323584743,-0.7733875022,-0.1103770981,1.0001395539,0.6154353335,0.4867275072,0.0921778226,0.2257133619,0.4517840482,1.2108351133,0.2276505372,1.0609089315,0.0628837593,-0.7471918397,-0.5223388230,0.3988152086,0.0415295872,-0.2366142914,0.5179462476,-0.8593772266,-0.3116273614
sample_005,-6.0278175386,43.4003395990,1.8493867755,1.5842420675,1.3917397811,0.0789316746,1.5011010506,1.1263305476,1.6898112915,1.1167885999,-0.7703120267,-1.8938504507,-0.7414773875,-0.6598345850,0.0091748515,1.4216148758,1.1456208015,1.1376830424,0.3649429676,0.5746783346,0.1238649043,0.8729503699,0.8866706889,-0.4387176994,-0.0492537843,-0.3887286008
sample_006,-7.5438849713,48.2370132453,0.0269688993,-0.0790678135,0.1236944114,0.5195924062,0.1179766482,0.0271066112,0.2868107699,0.5679233311,-1.8708271637,-2.7587977471,-0.5029300684,0.9444407220,0.1254498440,0.8352382049,0.1694259567,-0.1619151522,-0.2972482079,2.2522868297,1.3950135987,0.2578912568,0.1466860059,-1.8698293371,-1.3397892290,-1.1197196636
sample_007,4.8895893802,56.7411963155,0.7720070366,-1.3304839416,-0.6719634446,-0.0455986250,-0.2678541357,-1.0260974051,-1.5455393267,0.6101716326,-1.2192079299,-0.4395878230,1.4406371799,0.8811590909,1.7371195839,1.1884098130,0.1024121930,0.1314017610,1.2006495491,-0.2973226022,0.6387593595,-0.2232765850,0.7874296118,-0.4567053729,0.4228513301,0.2366178001
sample_008,1.3680128725,41.3634277445,-0.5993600851,-1.2132104330,-0.3756550897,1.3399227940,1.1027592042,0.5572462547,-0.2975550936,-0.3143330303,-0.0466501915,0.0687713371,0.7269985827,-0.2624591340,-0.9955250184,-0.5624263749,-0.3677190722,-0.2320337068,0.7013000704,-0.8772746262,0.9378974196,-0.0161370921,1.0127746800,0.2404108739,-0.1381902076,-0.1759563441
sample_009,3.6290939300,60.2643751482,0.2174598093,-0.1116728812,1.2748073821,-2.0664731723,-1.9605804752,-0.4618367161,0.9634849159,-1.2168316788,-0.5445001791,1.0546049651,-1.0531233418,0.5899935829,0.3009589126,0.5616970370,-0.7339008544,-1.8323100289,-1.0773651015,-1.1843520382,0.9752931875,0.6698463333,-0.6234818807,-0.2836034314,0.1694686227,-0.1952503367
sample_010,3.6563082483,39.1747237278,0.5705739542,-0.9001291884,0.6438427862,1.7400355272,0.9295719634,1.0854700839,-0.4598163665,0.5682145444,-1.0612701060,-1.8933586008,-0.9887909432,-0.1171868753,0.9263215714,1.1985477309,-0.8157590875,1.1304054512,-0.3512163584,0.3206335306,0.5829686465,0.0579162113,0.3402152174,0.1170593413,-0.5764853353,-0.7863858828
sample_011,0.6680085826,30.4283170218,-0.4946519722,0.1646940299,1.1146273771,0.6178951019,-0.3901497074,0.5927847658,0.8837628600,-0.4586739957,0.0765034935,0.5787542911,1.2080320925,1.2482277217,0.6512050589,-2.2370294432,-1.8671577946,0.4872486052,1.4156589158,1.4035225522,-0.4799988198,-1.5316171078,-0.6856004076,1.4965578632,-0.0441149245,-1.5833599144
sample_012,0.0655389422,38.8669107376,-1.4080925527,-1.5780862347,0.2709267874,2.1696420711,0.7081319723,-0.3376767336,0.8355713040,1.2863609764,1.9686618074,-0.0124036450,1.2281931904,-0.2725104450,-1.1992157622,-0.9926073503,0.9190086478,0.0433837148,-0.2094136883,0.5303817901,1.0714087852,0.1726954014,0.0702266920,0.0923664220,1.1975863230,-0.4177453560
sample_013,-9.1802228854,31.6808130398,0.1314402626,1.1178124611,1.2055529960,-0.5261005964,0.0752848705,-0.5091171993,0.6121491318,0.2437112493,-0.0147694532,1.2194296452,0.8166754109,-0.8799481263,-0.4884405369,-0.4118023531,-1.0940420044,-0.5805612879,0.0203852294,-0.2584217589,1.3505486139,0.4738180859,1.6458818018,2.0726565436,1.3750318898,0.6031398500
sample_014,0.7201848803,34.9043066346,0.1223354378,-0.4197871900,-1.5024311251,-0.1999160474,0.5043412696,0.9827364051,0.5769011127,1.1135897403,-0.8513411156,0.9369666795,-1.1943597305,-0.8809967050,0.7197129581,0.1431481302,0.0026567240,0.2408122129,-0.2132250757,0.2941442858,1.7350243403,0.9269578897,-0.1922069105,-0.5373845075,-0.9814135568,0.3309795556
sample_015,1.6797870675,62.4534675061,0.1514417683,-0.2778274920,-0.8373490613,-2.2528416537,-2.5953683069,-1.2282161106,-0.0085150192,-0.2651921053,-0.2355621258,0.3873658814,0.8356707485,0.3918961764,-1.3354005980,-1.5160041872,-0.1333682041,0.4912751983,-0.3511863954,-0.7883022431,-0.2649666015,-0.5518112764,-0.8269170857,0.7865350094,0.9787885986,0.3397479131
